4608
3865	 競技会	9
12115	(株)	6
2708	10月	227
0	11月	282
1	12月	281
2	1つ	696
2709	1月	256
10243	1番	27
3	2つ	619
4	2月	242
5	3つ	398
6	3月	394
4704	4つ	204
7	4月	372
5700	5つ	97
8	5月	326
9	6つ	41
10	6月	253
6969	7つ	49
2710	7月	230
11885	8つ	28
11	8月	233
14481	9つ	12
2711	9月	259
6307	Tシャツ	100
6308	Uターン	29
6309	Vサイン	10
12	ぁ	59
4705	あい	31
12519	あいさつ	23
13	あいだ	43
8289	あいま	11
7184	あいまい	5
6310	あえない	11
7185	あおり	9
9879	あか	5
17473	あかつき	5
15922	あからさま	14
14636	あきず	5
12491	あきらか	21
6311	あきらめ	6
10183	あくせく	7
13813	あくび	5
7186	あぐら	11
9406	あけ	9
10000	あげく	22
5796	あこがれ	33
17339	あご	5
14388	あさい	13
7187	あさり	21
7188	あざやか	15
10001	あざらし	7
2712	あし	18
15957	あしか	6
12023	あじ	17
2713	あじさい	100
9037	あす	10
13258	あずま屋	9
7189	あたし	17
4706	あたたかい	75
11664	あたふた	5
8290	あたらしい	31
7190	あたりまえ	28
13814	あたり前	5
13620	あだ名	5
14	あちこち	585
11927	あっけない	9
8685	あっさり	10
6312	あったかい	54
15	あっという間	234
8686	あっぱれ	7
6313	あつあつ	15
16	あつい	38
17	あて	64
11598	あでやか	10
6314	あのまま	7
15663	あひる	10
12386	あふれ	8
8291	あぶない	11
15715	あま	7
12930	あまい	10
8687	あまた	6
18	あまり	760
19	あめ	33
16919	あやい	5
16895	あやうい	6
16434	あやしい	16
15094	あやふや	6
8688	あやめ	15
16719	あゆ	5
12171	あら	17
4707	あらい	16
10002	あらいぐま	10
13570	あらた	12
5438	あらたか	53
15588	あらわ	5
20	ありがたい	576
4708	ありがたさ	26
9210	ありがたみ	43
9211	あり方	15
21	ある日	226
3866	ある時	348
7018	あれこれ	114
22	あれだけ	103
14878	あわ	6
8292	あわただしい	28
7191	あん	25
2714	あんこ	27
23	あんぱん	22
14607	あんま	5
24	ぃ	14
25	い	131
10589	いい加減	14
2715	いか	32
26	いかが	664
7192	いかがわしい	19
12470	いかだ	7
15391	いかめしい	7
5439	いかん	14
4709	いが	11
4710	いき	22
6018	いきさつ	15
14917	いく	14
27	いくつか	906
4711	いくら	126
7193	いし	27
14189	いじり	6
7194	いす	62
28	いずれ	330
29	いたい	36
11351	いたずら	16
2716	いただき	47
30	いた事	50
5797	いち	48
6019	いちど	29
31	いちばん	139
2717	いちょう	55
32	いち押し	42
8293	いち早い	26
7195	いっか	7
10184	いっこ	9
